policy,seed,task_id,workflow_mode,cumulative_score,cumulative_reward,num_steps
random,0,easy-public-release,single_request,0.52,0.04,1
random,1,easy-payroll-export,single_request,0.923,0.846,1
random,2,medium-vendor-bank-change,long_horizon_workflow,0.212,-0.576,1
random,3,hard-ceo-customer-export,adversarial_workflow,0.859,0.718,1
random,4,long-horizon-quarter-close-queue,batch_triage,2.135,1.27,3
weak,0,easy-public-release,single_request,0.518,0.036,1
weak,1,easy-payroll-export,single_request,0.746,0.492,1
weak,2,medium-vendor-bank-change,long_horizon_workflow,0.725,0.45,1
weak,3,hard-ceo-customer-export,adversarial_workflow,0.832,0.664,1
weak,4,long-horizon-quarter-close-queue,batch_triage,2.145,1.29,3
heuristic,0,easy-public-release,single_request,0.486,-0.028,1
heuristic,1,easy-payroll-export,single_request,0.907,0.814,1
heuristic,2,medium-vendor-bank-change,long_horizon_workflow,1.325,0.65,2
heuristic,3,hard-ceo-customer-export,adversarial_workflow,0.859,0.718,1
heuristic,4,long-horizon-quarter-close-queue,batch_triage,2.816,1.632,4
expert,0,easy-public-release,single_request,0.877,0.754,1
expert,1,easy-payroll-export,single_request,0.923,0.846,1
expert,2,medium-vendor-bank-change,long_horizon_workflow,1.844,1.688,2
expert,3,hard-ceo-customer-export,adversarial_workflow,1.801,1.602,2
expert,4,long-horizon-quarter-close-queue,batch_triage,3.694,3.388,4
trained,0,easy-public-release,single_request,0.915,0.83,1
trained,1,easy-payroll-export,single_request,0.773,0.546,1
trained,2,medium-vendor-bank-change,long_horizon_workflow,1.772,1.544,2
trained,3,hard-ceo-customer-export,adversarial_workflow,1.801,1.602,2
trained,4,long-horizon-quarter-close-queue,batch_triage,3.363,2.726,4
